bc_wells	gene_count	tscp_count	mread_count	pct_counts_mt	cluster	pct_counts_mt_below_15
33_01_23__s1	651	896	1154	14.397322	7	1
33_01_56__s1	567	799	1068	18.27284	1	0
33_01_85__s1	724	987	1346	14.488348	0	1
33_02_14__s1	1392	2142	2819	14.666043	5	1
33_02_18__s1	852	1221	1649	17.950819	0	0
33_02_57__s1	724	1001	1328	16.783216	0	0
33_03_07__s1	896	1263	1739	17.591125	2	0
33_03_12__s1	973	1356	1784	13.864307	0	1
33_03_34__s1	2137	3698	5012	12.875303	4	1
33_03_46__s1	1330	2166	2862	19.907621	0	0
33_03_47__s1	1517	2410	3211	19.468658	6	0
33_03_78__s1	646	895	1150	19.888268	0	0
33_03_87__s1	1119	1705	2270	16.021126	0	0
33_04_34__s1	708	967	1272	15.217391	6	0
33_04_43__s1	1593	2501	3279	15.833667	0	0
33_05_05__s1	950	1295	1669	11.042471	1	1
33_05_27__s1	777	1058	1414	14.204545	2	1
33_07_05__s1	898	1476	1915	21.409214	0	0
33_07_10__s1	659	929	1222	17.976318	1	0
33_07_17__s1	807	1282	1716	18.954758	4	0
33_07_30__s1	616	859	1154	18.859138	7	0
33_07_63__s1	1027	1514	1985	18.626156	0	0
33_07_86__s1	1125	1862	2443	20.19334	1	0
33_08_34__s1	611	827	1079	17.412333	0	0
33_08_59__s1	923	1264	1616	12.66825	3	1
33_09_29__s1	791	1160	1505	19.827587	3	0
33_09_79__s1	602	822	1117	15.815085	0	0
33_09_81__s1	1021	1499	1941	14.676452	0	1
33_11_08__s1	1424	2438	3207	20.270824	1	0
33_11_21__s1	1083	1606	2156	17.133955	5	0
33_11_35__s1	986	1418	1873	13.540198	4	1
33_11_69__s1	827	1253	1661	19.233839	0	0
33_12_92__s1	627	825	1084	16.363636	1	0
33_13_88__s1	592	807	1056	16.997519	0	0
33_13_90__s1	2731	5279	7038	17.358347	6	0
33_13_95__s1	797	1208	1587	23.096027	1	0
33_14_23__s1	600	831	1119	15.884477	0	0
33_14_44__s1	599	822	1096	13.138686	4	1
33_15_34__s1	739	1059	1444	19.169027	0	0
33_15_38__s1	885	1379	1883	20.4496	0	0
33_15_61__s1	1171	1797	2340	18.196995	1	0
33_16_32__s1	702	1110	1462	23.80523	1	0
33_17_58__s1	1478	2245	2977	14.355774	6	1
33_19_26__s1	614	792	1083	14.412136	0	1
33_19_30__s1	1503	2362	3174	14.902624	7	1
33_19_74__s1	1257	1875	2532	14.826668	0	1
33_19_90__s1	678	983	1317	18.71821	0	0
33_20_13__s1	977	1448	1904	18.093924	6	0
33_20_15__s1	871	1216	1555	12.088816	0	1
33_20_35__s1	622	890	1174	17.64045	0	0
33_21_08__s1	1368	2343	3091	21.468203	0	0
33_21_35__s1	769	1098	1464	19.216759	0	0
33_21_63__s1	638	890	1144	16.966291	0	0
33_21_69__s1	570	834	1124	17.985613	4	0
33_21_74__s1	1698	2666	3573	12.762763	5	1
33_21_75__s1	1302	2006	2667	20.44888	6	0
33_21_77__s1	618	852	1150	16.784039	0	0
33_22_35__s1	633	930	1242	16.881721	4	0
33_22_43__s1	1946	3193	4221	13.373004	5	1
33_22_56__s1	686	948	1233	22.198732	3	0
33_22_76__s1	848	1143	1481	11.723535	0	1
33_23_20__s1	1539	2449	3210	12.535728	0	1
33_23_45__s1	739	1050	1382	15.809525	7	0
33_23_52__s1	949	1386	1791	15.223665	0	0
33_23_84__s1	592	800	1044	15.625	5	0
33_24_20__s1	1346	2144	2845	12.925805	0	1
33_24_40__s1	940	1260	1622	11.904762	0	1
33_24_54__s1	896	1267	1718	11.917916	2	1
33_24_55__s1	902	1264	1699	12.341772	0	1
33_24_62__s1	784	1078	1393	14.285715	4	1
33_24_86__s1	630	883	1200	17.893545	0	0
33_25_58__s1	1278	1932	2527	14.596273	0	1
33_26_20__s1	1018	1585	2092	17.160883	0	0
33_26_21__s1	955	1320	1707	14.545454	7	1
33_26_32__s1	1490	2435	3285	17.700205	0	0
33_26_90__s1	1494	2440	3254	17.138172	0	0
33_27_13__s1	946	1487	1972	20.30935	0	0
33_27_28__s1	1493	2266	2951	13.642385	5	1
33_27_31__s1	929	1331	1741	14.19985	0	1
33_27_32__s1	981	1473	1956	16.089613	0	0
33_27_46__s1	766	1099	1439	14.831665	0	1
33_27_53__s1	713	1018	1291	17.092339	0	0
33_27_58__s1	561	830	1116	20.361446	0	0
33_27_87__s1	1318	2010	2634	18.358208	6	0
33_27_90__s1	714	972	1250	12.757201	0	1
33_28_06__s1	663	909	1183	16.50165	0	0
33_28_58__s1	713	976	1283	15.778689	2	0
33_28_78__s1	1488	2320	3092	13.491379	0	1
33_28_79__s1	986	1383	1833	13.087492	0	1
33_29_17__s1	2293	3677	4909	11.993473	5	1
33_29_32__s1	607	840	1057	18.333334	0	0
33_29_58__s1	903	1321	1714	18.470856	6	0
33_29_90__s1	883	1265	1723	15.810277	5	0
33_30_42__s1	669	904	1195	13.495575	5	1
33_31_52__s1	1175	1595	2094	13.8558	2	1
33_32_35__s1	990	1449	1894	16.701174	0	0
33_32_36__s1	876	1284	1690	16.991426	1	0
33_32_42__s1	1214	1909	2577	15.976952	0	0
33_32_66__s1	1786	3100	4104	13.004194	1	1
33_33_08__s1	1090	1600	2092	17.3125	3	0
33_33_11__s1	1164	1884	2537	18.418259	0	0
33_33_44__s1	653	884	1168	12.217195	0	1
33_33_59__s1	1274	2009	2616	17.620707	5	0
33_33_65__s1	629	869	1145	15.074799	0	0
33_33_70__s1	872	1237	1685	13.106796	0	1
33_34_05__s1	599	896	1163	18.435755	4	0
33_34_31__s1	679	1023	1323	20.254404	2	0
33_34_48__s1	1297	1958	2664	14.096016	0	1
33_34_49__s1	1142	1732	2280	15.135759	1	0
33_34_50__s1	809	1172	1560	17.32082	0	0
33_34_87__s1	653	859	1141	12.820514	0	1
33_35_08__s1	1091	1518	1997	12.664908	5	1
33_35_36__s1	631	845	1116	17.04142	0	0
33_35_40__s1	1085	1662	2200	17.098133	0	0
33_35_69__s1	548	814	1070	17.712177	1	0
33_35_84__s1	981	1399	1836	16.583275	0	0
33_35_93__s1	892	1196	1570	11.622073	3	1
33_36_15__s1	1467	2234	2947	13.345276	5	1
33_36_52__s1	590	811	1041	19.358816	3	0
33_36_79__s1	1078	1682	2217	17.251637	0	0
33_36_88__s1	950	1342	1824	13.636364	0	1
33_37_19__s1	1439	2299	3109	14.223576	0	1
33_37_94__s1	574	830	1120	22.891565	2	0
33_38_13__s1	1070	1518	2011	14.436388	4	1
33_38_73__s1	909	1308	1725	16.513762	3	0
33_38_87__s1	1195	1771	2335	16.836159	2	0
33_39_14__s1	1295	1922	2532	16.441206	3	0
33_39_20__s1	1014	1447	1844	15.825847	3	0
33_39_46__s1	1213	1838	2424	16.71203	1	0
33_39_50__s1	785	1034	1306	10.251451	5	1
33_39_86__s1	1012	1452	1908	14.354727	0	1
33_40_53__s1	849	1385	1835	19.06137	4	0
33_40_57__s1	1034	1448	1873	14.571823	3	1
33_40_76__s1	1158	1594	2085	11.36221	0	1
33_40_82__s1	1300	2052	2735	13.693957	1	1
33_40_84__s1	1300	1872	2462	12.767095	0	1
33_41_31__s1	1236	1872	2416	14.53768	0	1
33_41_51__s1	939	1338	1755	16.442451	5	0
33_41_95__s1	884	1201	1615	11.407161	7	1
33_42_10__s1	631	802	1035	12.842892	0	1
33_42_14__s1	1225	1999	2653	21.86093	0	0
33_42_27__s1	573	810	1082	18.024693	0	0
33_42_33__s1	897	1279	1692	16.666668	3	0
33_42_38__s1	1295	2102	2787	16.428572	1	0
33_42_49__s1	626	840	1096	15.833333	0	0
33_42_58__s1	921	1273	1633	10.447762	0	1
33_42_70__s1	926	1246	1629	11.084337	5	1
33_42_71__s1	977	1443	1948	16.088766	1	0
33_43_13__s1	736	1170	1535	22.735043	4	0
33_43_14__s1	1029	1487	1963	13.584397	3	1
33_43_38__s1	617	858	1097	15.519254	4	0
33_44_46__s1	807	1087	1400	14.443423	0	1
33_44_50__s1	1163	1828	2406	16.575493	0	0
33_44_78__s1	864	1391	1770	17.972681	0	0
33_45_01__s1	728	976	1272	15.061476	2	0
33_45_69__s1	936	1423	1890	20.197044	0	0
33_45_72__s1	1288	1924	2544	15.488565	5	0
33_45_86__s1	763	1050	1365	15.523809	0	0
33_46_02__s1	1066	1485	1910	13.890762	3	1
33_46_71__s1	987	1485	1923	19.946093	4	0
33_48_15__s1	818	1131	1506	12.997347	5	1
33_48_76__s1	1656	2673	3524	15.600449	0	0
33_48_87__s1	673	1051	1376	19.98097	4	0
33_48_91__s1	1119	1797	2342	20.712694	2	0
33_49_74__s1	727	1034	1358	17.618586	1	0
33_50_12__s1	1463	2355	3081	16.482582	5	0
33_50_79__s1	807	1126	1463	16.888887	7	0
33_51_03__s1	870	1302	1719	18.970814	2	0
33_51_20__s1	816	1240	1623	22.76029	0	0
33_51_41__s1	626	828	1061	14.26844	0	1
33_52_01__s1	743	899	1138	4.2316256	2	1
33_52_28__s1	669	1074	1368	24.510717	1	0
33_52_72__s1	848	1184	1564	14.780405	2	1
33_53_32__s1	674	960	1272	19.895834	5	0
33_53_48__s1	922	1230	1688	11.960944	3	1
33_53_62__s1	610	856	1122	12.616822	0	1
33_53_71__s1	601	842	1124	19.714966	0	0
33_53_72__s1	603	812	1042	14.53202	0	1
33_53_74__s1	1226	1996	2668	20.791582	0	0
33_53_87__s1	800	1094	1454	15.996345	3	0
33_54_38__s1	1493	2501	3385	16.55338	0	0
33_54_78__s1	616	848	1118	17.570755	7	0
33_55_16__s1	902	1419	1922	23.467232	2	0
33_55_29__s1	1302	1952	2583	14.702868	5	1
33_55_58__s1	917	1246	1603	12.11878	0	1
33_56_08__s1	958	1340	1785	11.119403	4	1
33_56_19__s1	1144	1706	2265	18.87456	6	0
33_56_71__s1	1359	2273	3034	22.877254	0	0
33_57_11__s1	673	932	1261	17.381973	7	0
33_57_28__s1	1525	2480	3273	17.741936	0	0
33_57_45__s1	2096	3811	5048	16.268696	0	0
33_57_53__s1	960	1460	1974	18.835617	0	0
33_57_73__s1	1341	1953	2558	15.053764	1	0
33_58_24__s1	1089	1556	2053	17.684887	2	0
33_58_37__s1	574	806	1025	20.223326	0	0
33_58_80__s1	1824	3047	4027	15.818839	0	0
33_58_81__s1	619	870	1164	16.666668	0	0
33_58_88__s1	1362	1938	2616	10.841508	3	1
33_59_52__s1	613	841	1117	16.171225	0	0
33_59_90__s1	2658	4948	6612	19.163128	2	0
33_59_91__s1	663	926	1212	17.062635	0	0
33_60_53__s1	679	933	1241	14.683816	4	1
33_60_55__s1	707	995	1282	16.700201	0	0
33_60_75__s1	662	907	1212	13.891952	0	1
33_60_91__s1	638	789	1079	8.618505	7	1
33_61_10__s1	601	890	1162	20.247469	2	0
33_61_13__s1	992	1371	1871	15.3172865	3	0
33_61_33__s1	1212	1858	2475	14.693218	0	1
33_61_83__s1	940	1293	1724	12.915699	0	1
33_61_89__s1	1005	1502	1981	14.980027	0	1
33_62_07__s1	842	1191	1607	16.372795	7	0
33_62_42__s1	2051	3691	4971	20.698997	2	0
33_62_92__s1	721	1069	1443	15.528531	4	0
33_63_28__s1	621	846	1086	16.193853	0	0
