bc_wells	gene_count	tscp_count	mread_count	pct_counts_mt	leiden	pct_counts_mt_below_7
01_01_22	322	368	381	5.1630435	1	1
01_01_61	406	454	470	1.3245033	0	1
01_01_65	313	363	371	4.4198895	2	1
01_01_86	955	1211	1245	5.2109184	0	1
01_02_40	1986	3062	3134	5.653595	0	1
01_02_65	300	351	357	4.2857146	0	1
01_02_83	893	1127	1150	5.4126	1	1
01_03_05	370	424	436	4.255319	0	1
01_03_36	460	527	541	2.857143	1	1
01_04_72	402	453	460	5.0884953	2	1
01_05_21	705	842	861	5.588585	1	1
01_05_74	464	538	551	4.275093	2	1
01_05_92	454	519	536	6.55106	0	1
01_06_17	319	366	375	4.644809	0	1
01_06_84	322	363	373	2.479339	2	1
01_06_85	308	345	353	2.3188407	0	1
01_07_13	341	386	402	3.8961039	0	1
01_07_49	681	844	857	6.9905214	0	1
01_07_55	582	689	701	2.9027576	2	1
01_07_68	302	343	352	4.0816326	0	1
01_07_69	428	493	500	5.476673	0	1
01_07_96	747	907	931	4.217536	1	1
01_08_17	420	483	497	4.5643153	0	1
01_08_38	357	432	440	6.5116277	2	1
01_09_68	422	491	505	3.0549898	2	1
01_09_89	573	669	680	3.587444	0	1
01_10_20	674	794	812	2.777778	1	1
01_10_35	301	337	341	2.0771513	2	1
01_10_36	903	1155	1193	5.9792027	0	1
01_10_93	372	414	423	4.347826	1	1
01_10_95	344	404	413	3.960396	0	1
01_11_64	379	429	439	2.5700934	2	1
01_13_20	2024	2892	2957	4.221453	1	1
01_13_27	898	1064	1085	3.8570085	1	1
01_13_44	397	465	476	5.399568	0	1
01_13_84	354	401	409	2.7431421	0	1
01_14_32	579	681	701	3.2305434	0	1
01_14_50	305	368	377	3.5326085	2	1
01_14_84	334	367	375	3.2697546	0	1
01_15_35	378	445	457	4.494382	1	1
01_16_12	700	834	854	2.8811524	1	1
01_17_07	316	356	366	4.775281	1	1
01_18_12	739	882	907	2.9511917	1	1
01_18_28	438	502	509	5.7999997	2	1
01_18_35	417	471	484	2.3354564	0	1
01_18_43	679	797	819	2.0075283	2	1
01_18_70	613	723	734	3.042877	1	1
01_19_34	387	460	470	5.0108933	1	1
01_22_10	363	388	391	3.3591733	1	1
01_22_26	340	394	403	5.5837564	0	1
01_22_40	931	1171	1203	4.6114435	0	1
01_22_62	598	729	743	6.584362	2	1
01_23_50	905	1084	1112	5.627306	1	1
01_24_87	334	369	376	1.8970189	0	1
01_24_95	614	717	732	2.932961	2	1
01_25_03	757	950	973	5.0579557	1	1
01_25_06	335	380	387	3.6939316	1	1
01_25_32	533	636	648	3.4591193	2	1
01_25_90	456	519	527	3.27553	0	1
01_28_16	585	719	735	4.735376	0	1
01_28_64	315	397	405	6.2972293	0	1
01_28_84	316	355	364	3.6619718	0	1
01_29_63	328	364	371	2.1978023	0	1
01_29_74	329	374	385	6.417112	0	1
01_30_89	561	685	698	5.5474453	0	1
01_31_76	312	356	364	3.943662	0	1
01_32_31	517	595	604	4.7058825	2	1
01_32_51	467	573	594	5.944056	1	1
01_32_83	421	468	472	3.640257	0	1
01_33_20	355	385	398	3.125	0	1
01_33_44	352	408	426	5.172414	0	1
01_33_85	435	504	513	3.187251	2	1
01_33_91	679	795	817	4.0302267	0	1
01_34_14	308	336	346	2.6785715	2	1
01_34_44	1167	1501	1539	3.8666666	2	1
01_34_48	434	507	527	4.743083	1	1
01_35_29	846	1025	1050	3.125	1	1
01_35_79	343	404	416	5.6930695	0	1
01_35_85	363	429	445	3.9627037	0	1
01_36_18	356	408	419	3.9215689	0	1
01_36_21	317	361	368	3.8781161	1	1
01_36_77	351	422	433	2.857143	2	1
01_36_88	823	1032	1053	4.660194	0	1
01_37_02	342	407	411	6.142506	0	1
01_37_31	517	610	622	5.427632	0	1
01_37_52	372	445	456	5.6306305	0	1
01_38_44	506	593	604	4.890388	0	1
01_39_92	644	785	808	4.4699874	2	1
01_40_10	448	531	544	7.3584905	0	0
01_40_12	373	423	428	4.7393365	2	1
01_40_21	381	429	442	3.9719627	0	1
01_40_36	476	552	568	3.0852995	0	1
01_40_96	462	539	549	5.0185876	0	1
01_41_87	1793	2511	2570	4.8226385	0	1
01_42_23	421	482	496	2.5	1	1
01_42_75	539	603	619	2.6622295	0	1
01_42_84	324	358	361	3.0726259	1	1
01_43_17	352	404	413	3.4653466	2	1
01_45_40	1121	1420	1445	4.166667	0	1
01_46_28	570	670	685	4.0358744	1	1
01_46_69	356	414	427	6.7961164	2	1
01_47_24	320	355	363	3.380282	1	1
01_47_37	347	401	417	6.0	1	1
01_47_42	313	350	358	3.1700287	0	1
01_47_56	1103	1399	1427	4.506438	0	1
01_47_58	471	542	555	2.0295203	0	1
01_48_41	508	581	593	2.7586207	2	1
01_48_62	317	372	378	5.376344	0	1
01_48_92	368	416	424	4.3269234	2	1
01_49_32	302	340	346	5.882353	1	1
01_50_12	395	465	478	3.0172412	1	1
01_50_33	462	526	534	3.041825	0	1
01_50_88	374	448	460	3.3482141	0	1
01_51_21	755	906	931	4.5303864	0	1
01_51_27	311	347	357	4.3227663	2	1
01_51_29	727	906	926	6.622516	1	1
01_51_42	1207	1519	1556	4.0897098	2	1
01_51_75	391	460	467	4.3572984	2	1
01_51_94	332	386	399	4.4155846	2	1
01_52_25	629	771	794	4.2912874	1	1
01_52_45	719	941	963	3.6208735	0	1
01_52_57	324	374	384	5.645161	2	1
01_53_53	394	455	463	4.845815	1	1
01_53_60	387	421	435	3.5714288	0	1
01_56_01	303	345	353	5.5072465	0	1
01_56_36	502	606	620	3.966942	0	1
01_56_48	350	399	412	6.2972293	0	1
01_56_96	344	399	408	6.265664	0	1
01_57_08	516	615	633	2.9268293	1	1
01_57_12	669	792	806	1.1392405	0	1
01_57_31	406	479	489	5.8700213	0	1
01_57_52	630	755	775	2.2516556	1	1
01_57_56	679	836	859	4.076739	1	1
01_57_82	381	439	451	4.783599	2	1
01_58_13	404	524	535	3.4351144	0	1
01_58_48	579	684	705	6.304985	1	1
01_59_22	355	422	433	3.7914693	1	1
01_60_19	491	603	612	5.6478405	0	1
01_60_59	401	453	466	4.6357617	0	1
01_60_90	652	801	820	8.739076	0	0
01_61_82	317	374	384	1.8716577	0	1
01_62_29	301	361	370	8.033241	0	0
01_63_28	449	523	534	3.0710173	0	1
01_63_29	336	389	398	5.3984575	0	1
01_63_43	343	406	416	5.6650248	0	1
01_64_26	1278	1622	1660	4.3183217	0	1
01_64_75	404	487	503	8.008213	0	0
01_65_01	324	373	380	5.1212935	0	1
01_65_16	380	428	442	6.338028	0	1
01_65_57	444	508	517	3.937008	0	1
01_65_70	506	606	619	3.3167496	0	1
01_65_90	980	1286	1324	3.4992225	2	1
01_66_68	390	440	449	5.4545455	0	1
01_66_77	480	550	564	5.818182	2	1
01_67_20	311	358	374	2.2408965	0	1
01_67_28	340	398	408	5.793451	0	1
01_67_59	313	359	369	6.424581	1	1
01_67_65	313	361	371	6.0941825	1	1
01_68_71	848	1074	1090	6.1509786	0	1
01_68_90	728	873	894	3.8990827	1	1
01_69_49	351	410	417	2.9339855	0	1
01_69_65	364	425	441	3.782506	0	1
01_69_68	602	711	726	2.2503517	2	1
01_69_73	509	601	613	4.166667	0	1
01_70_23	470	536	549	3.3582091	1	1
01_70_66	955	1178	1219	3.4834325	0	1
01_70_80	336	384	397	4.947917	2	1
01_70_85	569	650	665	2.4653313	1	1
01_71_03	413	479	492	3.757829	2	1
01_71_16	329	371	380	3.7735848	0	1
01_71_21	606	714	728	4.341737	1	1
01_72_03	748	899	925	5.122494	0	1
01_72_29	333	369	373	3.5230353	0	1
01_73_91	310	357	363	7.3239436	0	0
01_75_07	374	433	440	6.0046186	1	1
01_76_05	693	839	856	3.3373063	0	1
01_76_60	512	588	604	3.2312925	0	1
01_76_65	708	835	852	3.8369305	1	1
01_78_29	494	576	580	3.4904015	2	1
01_78_69	845	1074	1103	5.2287583	0	1
01_79_22	304	345	350	4.347826	0	1
01_79_40	1815	2623	2684	3.5891562	2	1
01_79_71	462	524	552	4.0152965	1	1
01_79_90	340	399	409	6.5326633	0	1
01_80_79	334	362	370	3.038674	1	1
01_81_15	380	434	446	4.37788	0	1
01_81_91	518	637	647	2.9827316	0	1
01_82_44	410	503	517	5.367793	0	1
01_83_68	909	1118	1149	3.7600715	2	1
01_83_77	1440	1928	1971	4.413292	0	1
01_83_83	786	956	978	4.397906	1	1
01_84_02	661	791	805	5.5766797	1	1
01_84_03	301	358	366	5.882353	2	1
01_84_79	305	359	367	2.2284122	0	1
01_85_25	329	368	376	5.1630435	2	1
01_85_32	404	475	487	7.157895	0	0
01_85_46	910	1109	1137	4.693141	0	1
01_85_50	977	1216	1257	5.4455442	0	1
01_85_59	437	504	522	3.5714288	2	1
01_85_63	334	369	372	4.0650406	1	1
01_85_85	597	714	735	4.4880786	1	1
01_86_05	398	452	467	3.7694016	0	1
01_86_08	549	613	627	3.2626429	1	1
01_86_22	306	347	358	3.4782608	2	1
01_86_34	399	464	475	5.6034484	1	1
01_86_37	334	386	397	3.6363635	2	1
01_86_91	532	626	641	3.8338656	2	1
