guide,bc_wells
guide_A,01_01_61
guide_A,01_01_66
guide_A,01_01_86
guide_A,01_01_94
guide_A,01_02_19
guide_A,01_02_40
guide_A,01_02_65
guide_A,01_02_83
guide_A,01_02_87
guide_A,01_03_05
guide_A,01_03_49
guide_A,01_03_72
guide_A,01_04_57
guide_A,01_04_72
guide_A,01_05_04
guide_A,01_05_21
guide_A,01_05_60
guide_A,01_05_74
guide_A,01_06_39
guide_A,01_07_43
guide_A,01_07_49
guide_A,01_07_55
guide_A,01_07_69
guide_A,01_07_93
guide_A,01_08_17
guide_A,01_08_51
guide_A,01_09_12
guide_A,01_09_31
guide_A,01_09_33
guide_A,01_09_51
guide_A,01_09_68
guide_A,01_09_89
guide_A,01_10_10
guide_A,01_10_20
guide_A,01_10_93
guide_A,01_11_12
guide_A,01_11_37
guide_A,01_11_56
guide_A,01_11_64
guide_A,01_12_14
guide_A,01_12_82
guide_A,01_13_20
guide_A,01_13_21
guide_A,01_13_44
guide_A,01_14_17
guide_A,01_14_26
guide_A,01_14_32
guide_A,01_14_50
guide_A,01_14_84
guide_A,01_15_45
guide_A,01_15_68
guide_A,01_16_12
guide_A,01_17_15
guide_A,01_18_12
guide_A,01_18_37
guide_A,01_18_43
guide_A,01_20_49
guide_A,01_20_71
guide_A,01_20_72
guide_A,01_21_03
guide_A,01_21_68
guide_A,01_22_02
guide_A,01_22_16
guide_A,01_22_26
guide_A,01_23_37
guide_A,01_23_49
guide_A,01_23_50
guide_A,01_23_57
guide_A,01_23_94
guide_A,01_25_90
guide_A,01_25_92
guide_A,01_26_02
guide_A,01_26_48
guide_A,01_26_52
guide_A,01_27_44
guide_A,01_28_16
guide_A,01_28_61
guide_A,01_29_04
guide_A,01_29_32
guide_A,01_29_42
guide_A,01_29_95
guide_A,01_30_30
guide_A,01_30_58
guide_A,01_31_05
guide_A,01_31_15
guide_A,01_31_38
guide_A,01_32_15
guide_A,01_32_16
guide_A,01_32_27
guide_A,01_32_31
guide_A,01_32_51
guide_A,01_32_83
guide_A,01_33_20
guide_A,01_33_27
guide_A,01_33_73
guide_A,01_33_85
guide_A,01_33_91
guide_A,01_33_95
guide_A,01_34_14
guide_A,01_34_16
guide_A,01_34_26
guide_A,01_34_44
guide_A,01_35_29
guide_A,01_35_44
guide_A,01_35_79
guide_A,01_35_85
guide_A,01_36_46
guide_A,01_37_02
guide_A,01_37_10
guide_A,01_37_16
guide_A,01_37_52
guide_A,01_37_75
guide_A,01_37_92
guide_A,01_38_72
guide_A,01_38_81
guide_A,01_39_15
guide_A,01_39_83
guide_A,01_39_91
guide_A,01_40_21
guide_A,01_40_36
guide_A,01_40_52
guide_A,01_40_96
guide_A,01_41_87
guide_A,01_41_94
guide_A,01_42_68
guide_A,01_42_75
guide_A,01_42_83
guide_A,01_42_96
guide_A,01_43_17
guide_A,01_44_07
guide_A,01_44_18
guide_A,01_44_77
guide_A,01_45_40
guide_A,01_45_58
guide_A,01_45_88
guide_A,01_46_25
guide_A,01_46_69
guide_A,01_47_34
guide_A,01_47_37
guide_A,01_47_42
guide_A,01_47_47
guide_A,01_47_56
guide_A,01_48_05
guide_A,01_48_92
guide_A,01_49_32
guide_A,01_49_55
guide_A,01_50_33
guide_A,01_51_19
guide_A,01_51_21
guide_A,01_51_41
guide_A,01_51_42
guide_A,01_51_53
guide_A,01_51_85
guide_A,01_51_90
guide_A,01_51_94
guide_A,01_52_16
guide_A,01_52_25
guide_A,01_52_73
guide_A,01_53_04
guide_A,01_53_60
guide_A,01_54_76
guide_A,01_54_94
guide_A,01_55_80
guide_A,01_56_01
guide_A,01_56_36
guide_A,01_56_77
guide_A,01_57_12
guide_A,01_57_40
guide_A,01_57_56
guide_A,01_57_82
guide_A,01_58_07
guide_A,01_58_41
guide_A,01_58_48
guide_A,01_59_22
guide_A,01_60_19
guide_A,01_60_21
guide_A,01_60_52
guide_A,01_60_63
guide_A,01_60_90
guide_A,01_61_49
guide_A,01_63_28
guide_A,01_63_29
guide_A,01_64_26
guide_A,01_64_96
guide_A,01_65_57
guide_A,01_65_70
guide_A,01_66_68
guide_A,01_66_77
guide_A,01_66_90
guide_A,01_67_01
guide_A,01_67_04
guide_A,01_67_25
guide_A,01_68_05
guide_A,01_68_90
guide_A,01_69_26
guide_A,01_69_65
guide_A,01_69_68
guide_A,01_69_73
guide_A,01_69_76
guide_A,01_70_18
guide_A,01_70_23
guide_A,01_70_66
guide_A,01_70_85
guide_A,01_70_91
guide_A,01_71_21
guide_A,01_71_42
guide_A,01_71_59
guide_A,01_72_29
guide_A,01_73_37
guide_A,01_73_48
guide_A,01_74_38
guide_A,01_74_57
guide_A,01_75_07
guide_A,01_76_05
guide_A,01_76_36
guide_A,01_76_38
guide_A,01_76_60
guide_A,01_76_65
guide_A,01_76_77
guide_A,01_77_69
guide_A,01_78_17
guide_A,01_78_29
guide_A,01_78_69
guide_A,01_79_10
guide_A,01_79_22
guide_A,01_79_29
guide_A,01_79_40
guide_A,01_80_73
guide_A,01_80_79
guide_A,01_81_05
guide_A,01_81_15
guide_A,01_81_62
guide_A,01_81_91
guide_A,01_82_18
guide_A,01_82_44
guide_A,01_82_91
guide_A,01_83_77
guide_A,01_83_83
guide_A,01_84_02
guide_A,01_84_03
guide_A,01_84_55
guide_A,01_84_65
guide_A,01_84_68
guide_A,01_85_22
guide_A,01_85_25
guide_A,01_85_32
guide_A,01_85_46
guide_A,01_85_57
guide_A,01_85_63
guide_A,01_85_65
guide_A,01_85_79
guide_A,01_86_05
guide_A,01_86_08
guide_A,01_86_24
guide_A,01_86_96
guide_A,01_87_17
guide_A,01_87_66
guide_A,01_88_36
guide_A,01_88_37
guide_A,01_88_53
guide_A,01_89_21
guide_A,01_89_36
guide_A,01_89_55
guide_A,01_89_92
guide_A,01_90_58
guide_A,01_90_85
guide_A,01_91_49
guide_A,01_92_11
guide_A,01_92_43
guide_A,01_92_45
guide_A,01_92_61
guide_A,01_92_77
guide_A,01_94_03
guide_A,01_94_12
guide_A,01_94_18
guide_A,01_94_26
guide_A,01_94_65
guide_A,01_94_73
guide_A,01_94_79
guide_A,01_94_90
guide_A,01_95_67
guide_A,01_95_93
guide_A,01_96_59
guide_A,01_96_85
guide_A,02_01_17
guide_A,02_01_50
guide_A,02_01_77
guide_A,02_01_78
guide_A,02_01_85
guide_A,02_02_50
guide_A,02_02_81
guide_A,02_03_07
guide_A,02_03_16
guide_A,02_04_91
guide_A,02_05_26
guide_A,02_06_23
guide_A,02_06_54
guide_A,02_07_65
guide_A,02_07_78
guide_A,02_08_20
guide_A,02_08_28
guide_A,02_08_85
guide_A,02_09_18
guide_A,02_09_21
guide_A,02_09_42
guide_A,02_09_96
guide_A,02_10_46
guide_A,02_10_50
guide_A,02_10_54
guide_A,02_10_66
guide_A,02_10_78
guide_A,02_10_79
guide_A,02_10_94
guide_A,02_11_26
guide_A,02_11_33
guide_A,02_11_83
guide_A,02_12_59
guide_A,02_12_88
guide_A,02_13_19
guide_A,02_13_37
guide_A,02_13_49
guide_A,02_13_90
guide_A,02_14_86
guide_A,02_15_01
guide_A,02_15_60
guide_A,02_15_62
guide_A,02_15_80
guide_A,02_15_95
guide_A,02_16_84
guide_A,02_17_14
guide_A,02_17_22
guide_A,02_17_37
guide_A,02_17_73
guide_A,02_18_01
guide_A,02_18_35
guide_A,02_18_37
guide_A,02_18_61
guide_A,02_18_89
guide_A,02_19_20
guide_A,02_19_34
guide_A,02_19_42
guide_A,02_19_71
guide_A,02_20_35
