bc_wells	mread_count
01_01_22	0
01_01_25	771
01_01_61	751
01_01_65	918
01_01_66	596
01_01_86	3012
01_01_94	1046
01_02_03	511
01_02_10	1291
01_02_12	4024
01_02_19	7803
01_02_35	496
01_02_40	12267
01_02_65	885
01_02_83	3132
01_02_85	1559
01_02_87	532
01_03_05	805
01_03_16	391
01_03_25	349
01_03_28	65
01_03_36	716
01_03_41	156
01_03_49	1747
01_03_56	213
01_03_65	1671
01_03_72	1539
01_03_89	0
01_03_94	0
01_04_06	690
01_04_31	484
01_04_57	1681
01_04_72	3035
01_05_04	2638
01_05_21	491
01_05_27	1298
01_05_29	3589
01_05_60	1002
01_05_64	498
01_05_74	912
01_05_92	0
01_06_17	2693
01_06_37	4068
01_06_39	1903
01_06_60	0
01_06_75	2513
01_06_84	1717
01_06_85	1316
01_07_13	2017
01_07_19	1135
01_07_43	2311
01_07_49	4478
01_07_55	3597
01_07_68	1628
01_07_69	1510
01_07_73	955
01_07_93	519
01_07_95	994
01_07_96	2150
01_08_17	4842
01_08_38	952
01_08_51	3973
01_08_75	228
01_09_12	671
01_09_13	103
01_09_31	2653
01_09_33	2184
01_09_50	296
01_09_51	1344
01_09_68	3989
01_09_76	1734
01_09_88	938
01_09_89	2544
01_10_04	236
01_10_07	168
01_10_10	487
01_10_20	1541
01_10_25	1363
01_10_35	1098
01_10_36	152
01_10_54	1268
01_10_93	2165
01_10_95	0
01_11_01	957
01_11_05	329
01_11_12	2847
01_11_13	880
01_11_37	386
01_11_43	1837
01_11_56	273
01_11_61	146
01_11_64	1997
01_11_70	1249
01_12_14	1930
01_12_35	775
01_12_40	1301
01_12_82	672
01_13_01	2433
01_13_20	17555
01_13_21	872
01_13_27	4374
01_13_44	6905
01_13_72	840
01_13_84	0
01_14_17	1951
01_14_26	1893
01_14_32	2859
01_14_50	1032
01_14_84	759
01_15_35	0
01_15_45	961
01_15_68	2271
01_15_88	511
01_16_12	5232
01_16_24	429
01_16_36	1387
01_16_51	1177
01_16_73	222
01_17_07	430
01_17_15	772
01_17_46	2294
01_17_80	676
01_18_12	5129
01_18_28	3355
01_18_35	2000
01_18_37	2497
01_18_43	4049
01_18_60	818
01_18_70	4544
01_19_01	2011
01_19_06	484
01_19_34	0
01_19_49	310
01_19_69	3015
01_20_19	608
